lote_id,codigo_produto,descricao_produto,status_cadastro
LG-2026-00101,TV55-4K-B,"Televisão 55"" 4K Série B",Ativo
LG-2026-00102,MON27-QHD,"Monitor 27"" QHD",Ativo
LG-2026-00104,TV65-OLED,"Televisão 65"" OLED",Ativo
LG-2026-00105,MON24-FHD,"Monitor 24"" Full HD",Ativo
LG-2026-00106,TV43-FHD,"Televisão 43"" Full HD",Ativo
LG-2026-00107,AC9-WINDOW,Ar-condicionado 9.000 BTU Janela,Ativo
LG-2026-00108,TV50-4K-B,"Televisão 50"" 4K Série B",Ativo
LG-2026-00109,MON32-4K,"Monitor 32"" 4K",Ativo
LG-2026-00110,TV55-4K-B,"Televisão 55"" 4K Série B",Ativo
LG-2026-00111,AC18-SPLIT,Ar-condicionado 18.000 BTU Split,Ativo
LG-2026-00112,TV43-FHD,"Televisão 43"" Full HD",Ativo
LG-2026-00113,MON27-QHD,"Monitor 27"" QHD",Ativo
LG-2026-00114,TV65-OLED,"Televisão 65"" OLED",Ativo
LG-2026-00115,AC12-SPLIT,Ar-condicionado 12.000 BTU Split,Ativo
LG-2026-00116,TV50-4K-B,"Televisão 50"" 4K Série B",Ativo
LG-2026-00117,MON24-FHD,"Monitor 24"" Full HD",Ativo
LG-2026-00118,TV43-FHD,"Televisão 43"" Full HD",Ativo
LG-2026-00119,AC9-WINDOW,Ar-condicionado 9.000 BTU Janela,Ativo
LG-2026-00120,TV55-4K-B,"Televisão 55"" 4K Série B",Ativo
LG-2026-00121,MON32-4K,"Monitor 32"" 4K",Ativo
LG-2026-00122,TV65-OLED,"Televisão 65"" OLED",Ativo
LG-2026-00123,AC18-SPLIT,Ar-condicionado 18.000 BTU Split,Ativo
LG-2026-00125,MON27-QHD,"Monitor 27"" QHD",Ativo
,,,
⚠️  NOTA AO REVISOR: O lote LG-2026-00103 NÃO está cadastrado nesta base (erro intencional — representa lote com código incorreto). Lotes não encontrados devem ser registrados como DIVERGÊNCIA.,,,
