status_raw,turno,tem_obs,classe
0,0,0,valido_automatico
1,2,1,revisar
0,0,1,valido_automatico
1,0,1,recusar_automatico
4,1,1,recusar_automatico
1,1,1,valido_automatico
0,2,0,valido_automatico
0,2,1,valido_automatico
1,2,1,recusar_automatico
0,2,0,valido_automatico
0,0,1,valido_automatico
0,1,0,valido_automatico
0,2,1,valido_automatico
0,1,0,valido_automatico
1,1,1,recusar_automatico
1,1,0,recusar_automatico
2,1,1,recusar_automatico
1,2,1,recusar_automatico
1,1,1,recusar_automatico
1,2,0,recusar_automatico
4,0,0,revisar
0,0,0,valido_automatico
0,2,0,valido_automatico
1,2,0,recusar_automatico
3,1,0,recusar_automatico
3,1,0,valido_automatico
0,0,0,valido_automatico
0,2,0,valido_automatico
4,2,0,revisar
0,1,0,valido_automatico
1,1,1,recusar_automatico
0,2,0,valido_automatico
1,1,0,revisar
0,2,0,valido_automatico
0,2,0,valido_automatico
3,0,1,revisar
3,1,1,revisar
2,0,0,recusar_automatico
0,2,1,valido_automatico
0,2,0,valido_automatico
1,1,0,recusar_automatico
0,2,0,valido_automatico
1,0,1,recusar_automatico
4,1,0,revisar
0,0,1,valido_automatico
1,1,1,valido_automatico
0,0,0,valido_automatico
0,1,1,valido_automatico
1,2,0,recusar_automatico
0,1,1,valido_automatico
4,1,0,recusar_automatico
2,0,1,revisar
1,2,1,recusar_automatico
0,1,0,valido_automatico
0,2,1,revisar
0,2,1,valido_automatico
1,0,0,revisar
1,1,0,revisar
0,0,1,valido_automatico
0,1,1,valido_automatico
3,2,0,revisar
1,2,1,recusar_automatico
2,2,0,revisar
3,1,0,revisar
4,0,0,revisar
0,1,1,valido_automatico
4,0,1,revisar
0,2,0,valido_automatico
1,2,0,recusar_automatico
0,1,1,recusar_automatico
1,2,0,recusar_automatico
1,2,1,recusar_automatico
0,2,1,valido_automatico
1,0,1,recusar_automatico
4,0,1,revisar
0,0,0,valido_automatico
1,0,1,revisar
0,2,0,valido_automatico
0,0,1,revisar
1,1,1,revisar
1,2,1,revisar
0,1,0,valido_automatico
0,1,1,valido_automatico
0,1,0,valido_automatico
1,1,0,recusar_automatico
2,0,1,revisar
2,2,0,valido_automatico
1,2,0,valido_automatico
