lote_id,produto,linha,turno,status,responsavel,data,observacao
LG-2026-00101,TV55-4K-B,L1,A,APROVADO,Carlos Menezes,14/06/2026,
LG-2026-00102,MON27-QHD,L2,B,APROVADO,Ana Ferreira,14/06/2026,
LG-2026-00103,AC12-SPLIT,L3,A,APROVADO,Roberta Lima,14/06/2026,
LG-2026-00104,TV65-OLED,L1,C,REPROVADO,Marcos Souza,14/06/2026,Defeito na tela — pontos mortos
LG-2026-00105,MON24-FHD,L2,A,OK,Juliana Neves,14/06/2026,
LG-2026-00106,TV43-FHD,L3,B,PENDENTE,Rafael Souza,14/06/2026,Aguardando laudo técnico
LG-2026-00107,AC9-WINDOW,L1,A,NOK,Carlos Menezes,14/06/2026,
LG-2026-00108,TV50-4K-B,L2,C,APROVADO,Ana Ferreira,14/06/2026,
LG-2026-00109,MON32-4K,L3,B,REPROVADO,,14/06/2026,Falha no painel de controle
LG-2026-00110,TV55-4K-B,L1,A,APROVADO,Roberta Lima,14/06/2026,
LG-2026-00111,AC18-SPLIT,L2,B,APROVADO,Marcos Souza,14/06/2026,
LG-2026-00112,TV43-FHD,L3,A,REPROV.,Juliana Neves,14/06/2026,
LG-2026-00113,MON27-QHD,L1,C,APROVADO,Rafael Souza,14/06/2026,
LG-2026-00114,TV65-OLED,L2,A,PENDENTE,Carlos Menezes,14/06/2026,Em análise pelo engenheiro
LG-2026-00115,AC12-SPLIT,L3,B,APROVADO,Ana Ferreira,15-06-2026,
LG-2026-00116,TV50-4K-B,L1,A,REPROVADO,Roberta Lima,14/06/2026,Tela com riscos na superfície
LG-2026-00117,MON24-FHD,L2,C,APROVADO,Marcos Souza,14/06/2026,
LG-2026-00118,TV43-FHD,L3,B,APROVADO PARCIAL,Juliana Neves,14/06/2026,Aprovado apenas uso interno
LG-2026-00119,AC9-WINDOW,L1,A,APROVADO,Rafael Souza,14/06/2026,
LG-2026-00120,TV55-4K-B,L2,B,APROVADO,Carlos Menezes,14/06/2026,
LG-2026-00121,MON32-4K,L3,C,REPROVADO,Ana Ferreira,14/06/2026,
LG-2026-00122,TV65-OLED,L1,A,APROVADO,Roberta Lima,14/06/2026,
LG-2026-00123,AC18-SPLIT,L2,B,PENDENTE,Marcos Souza,14/06/2026,
,TV50-4K-B,L3,A,APROVADO,Juliana Neves,14/06/2026,
LG-2026-00125,MON27-QHD,L1,C,REPROVADO,Rafael Souza,14/06/2026,Cabo de força com defeito
